term,reading,english,description,category
AIの冬,エーアイのふゆ,,人工知能の研究が停滞した時代。,人工知能
,,,,
,,,,
コンテキストウィンドウ,コンテキストウィンドウ,,大規模言語モデルが記憶可能な文章の長さ。おおむね一単語に相当するトークンを単位とする。,人工知能
シンギュラリティ,シンギュラリティ,,人工知能が自律的な成長を遂げた結果、あらゆる面で人間の知能を上回り、その先の成長が予測不能になる仮説的な事象。技術的特異点。,人工知能
チューリング・テスト,チューリングテスト,Turing test,人工知能の振る舞いがいかに人間的かどうかを判定するテスト。,人工知能
ディルージョン,でぃるーじょん,,ハルシネーション。,情報学
ディープフェイク,ディープフェイク,,人工知能を利用して生成され、あたかも実物であるかのように偽って公開された、虚偽の映像や動画。,人工知能
ディープラーニング,ディープラーニング,,「深層学習」に同じ。,情報学
ハルシネーション,ハルシネーション,,人工知能が虚偽の情報をまるで事実かのように提示したり、誤解を招く回答を生成したりすること。,情報学
ファイル,ファイル,file,電子ファイル。,計算機科学
ファインチューニング,ファインチューニング,,機械学習を特定の分野に対して追加で行い強化させること。,人工知能
プロセス,プロセス,,コンピュータにおける処理の単位の一つ。,計算機科学
プロンプトエンジニアリング,プロンプトエンジニアリング,,人工知能に対して行う命令であるプロンプトを作成する技術。,人工知能
不気味の谷,ぶきみのたに,,人工知能の開発において、全く支離滅裂な応答しかできない段階と全く人間と同じような応答ができる段階の間、すなわち一見人間らしく思えるが、明らかに不自然な点が見られる段階が一番人間には気味が悪く見えるという経験則。,人工知能
中国語の部屋,ちゅうごくごのへや,Chinese room,中国語を理解できない人を部屋に閉じ込め、マニュアルに沿って質問に回答させる思考実験。,人工知能
人工無脳,じんこうむのう,,人間のように思考することなく、特定のパターンから回答を選ぶだけのチャットボット。,人工知能
作話,さくわ,,ハルシネーション。,情報学
副作用,ふくさよう,adverse effect; side effect,コンピューターの処理がコンピューターの論理的な状態を変化させる性質。,計算機科学
創発,そうはつ,,大規模言語モデルの規模をどんどん大きくしていると、ある瞬間突然人間のような自然な対話ができるようになる現象。,人工知能
参照,さんしょう,refer; consult,他のデータ領域を指し示すための小さなオブジェクト。,計算機科学
回路,かいろ,,電気が流れる環状の道筋。; 上のうち、論理演算や記憶を行うためのもの。,計算機科学
大規模言語モデル,だいきぼげんごモデル,large language model,人間による大量の文章を機械学習によって整理し、単語同士の関係性などをモデル化したもの。,人工知能
妄想,もうそう,,ハルシネーション。,情報学
実体,じったい,,参照や関連づけを受けるデータや意味のまとまり。エンティティ。,計算機科学
対話型人工知能,たいわがたじんこうちのう,,チャットボットと同様のユーザーインターフェースを用い、自然言語によって指示を出すことにより回答を生成する人工知能。,人工知能
小規模言語モデル,しょうきぼげんごモデル,,大規模言語モデルを縮小し、オンデバイスでも利用可能なほどの大きさにしたもの。,人工知能
幻覚,げんかく,hallucination,ハルシネーション。,情報学
弱いAI,よわいエーアイ,,人間の知的作業の一部だけを代替できる人工知能。,人工知能
弱素数,じゃくそすう,weak prime,暗号理論に於いて、強素数でない素数。,情報学
強いAI,つよいエーアイ,,あらゆる人間の知的作業を代替できる人工知能。汎用人工知能。,人工知能
強素数,きょうそすう,strong prime,暗号理論に於いて、以下の条件を満たす素数 p。,情報学
意味論,いみろん,,プログラミング言語の意味に関する分野。「プログラム意味論」とも呼ばれる。,計算機科学
技術的特異点,ぎじゅつてきとくいてん,technological singularity,人工知能が人間の知能を上回り、その発展が予測できなくなるという仮説。,人工知能
拡散モデル,かくさんモデル,,機械学習でノイズを加除しながら最終的に元のデータを復元したり新しいデータを生成したりするためのシステム。,人工知能
機械学習,きかいがくしゅう,,経験からの学習により自動で改善するコンピュータアルゴリズム。,情報学
温度,おんど,temperature,出力のランダムさを表すパラメーター。値が大きいほど出力の予測が難しくなる。,人工知能
状態,じょうたい,state; status; condition; situation,変数束縛の対応づけ。変数名から値への写像。,計算機科学
発散,はっさん,divergence,計算が終わらないこと。,計算機科学
誌名,しめい,,雑誌の名称。,情報学
